closed_issue,closed_pr,commits,contributors,created_at,description,fork,full_name,language,merged_pr,name,open_issue,open_pr,owner,stars,updated_at
58100,39266,37724,383,2014-12-24T17:49:19Z,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,39124,freeCodeCamp/freeCodeCamp,TypeScript,37302,freeCodeCamp,249,84,freeCodeCamp,410884,2025-03-08T03:56:10Z
11529,10396,9501,432,2013-10-11T06:50:37Z,:books: Freely available programming books,62921,EbookFoundation/free-programming-books,HTML,6757,free-programming-books,86,55,EbookFoundation,351830,2025-03-08T03:34:11Z
2402,2067,1156,438,2014-07-11T13:42:37Z,😎 Awesome lists about all kinds of interesting topics,28649,sindresorhus/awesome,,206,awesome,50,38,sindresorhus,350308,2025-03-08T03:35:57Z
820,276,571,119,2018-05-09T12:03:18Z,Master programming by recreating your favorite technologies from scratch.,32442,codecrafters-io/build-your-own-x,Markdown,27,build-your-own-x,355,162,codecrafters-io,349852,2025-03-08T03:55:27Z
3544,2942,4535,427,2016-03-20T23:49:42Z,A collective list of free APIs,34899,public-apis/public-apis,Python,0,public-apis,469,418,public-apis,329201,2025-03-08T02:51:26Z
1462,1004,2511,306,2016-06-06T02:34:12Z,A complete computer science study plan to become a software engineer.,78080,jwasham/coding-interview-university,,251,coding-interview-university,62,9,jwasham,312814,2025-03-08T03:18:44Z
7425,4887,6265,472,2017-03-15T13:45:52Z,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",40439,kamranahmedse/developer-roadmap,TypeScript,3420,developer-roadmap,170,20,kamranahmedse,309895,2025-03-08T03:33:48Z
413,326,332,112,2017-02-26T16:15:28Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,48388,donnemartin/system-design-primer,Python,32,system-design-primer,483,248,donnemartin,291191,2025-03-08T03:53:32Z
1983,1983,3217,396,2019-03-26T07:31:14Z,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,21115,996icu/996.ICU,,198,996.ICU,4,4,996icu,270381,2025-03-07T23:50:19Z
1546,1546,1679,370,2014-06-27T21:00:06Z,"An opinionated list of awesome Python frameworks, libraries, software and resources.",25381,vinta/awesome-python,Python,231,awesome-python,431,431,vinta,236352,2025-03-08T03:43:33Z
29543,16749,20047,413,2013-05-24T16:15:54Z,The library for web and native user interfaces.,47812,facebook/react,JavaScript,10886,react,958,189,facebook,232971,2025-03-08T02:59:33Z
431,353,570,100,2017-04-12T05:07:46Z,Curated list of project-based tutorials,28691,practical-tutorials/project-based-learning,,0,project-based-learning,208,94,practical-tutorials,219917,2025-03-08T03:32:33Z
3839,3036,6721,402,2015-06-01T02:33:17Z,A list of Free Software network services and web applications which can be hosted on your own servers,10330,awesome-selfhosted/awesome-selfhosted,,910,awesome-selfhosted,1,1,awesome-selfhosted,219536,2025-03-08T03:42:05Z
11984,2317,3593,357,2013-07-29T03:24:51Z,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",33728,vuejs/vue,TypeScript,115,vue,604,248,vuejs,208436,2025-03-07T23:26:02Z
11650,10158,3495,456,2016-07-16T09:44:01Z,All Algorithms implemented in Python,46364,TheAlgorithms/Python,Python,3555,Python,362,298,TheAlgorithms,197977,2025-03-08T03:49:37Z
772,545,1120,208,2018-03-24T07:47:04Z,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,30525,trekhleb/javascript-algorithms,JavaScript,136,javascript-algorithms,360,230,trekhleb,190381,2025-03-08T02:05:22Z
618,618,1336940,0,2011-09-04T22:48:12Z,Linux kernel source tree,55369,torvalds/linux,C,0,linux,447,447,torvalds,189186,2025-03-08T03:40:13Z
79387,39886,177042,409,2015-11-07T01:19:20Z,An Open Source Machine Learning Framework for Everyone,74575,tensorflow/tensorflow,C++,39886,tensorflow,7472,6683,tensorflow,188457,2025-03-08T03:01:35Z
1703,847,1900,178,2013-11-16T02:37:24Z,A book series (2 published editions) on the JS language.,33595,getify/You-Dont-Know-JS,,423,You-Dont-Know-JS,124,44,getify,181238,2025-03-08T01:21:59Z
1002,554,3781,216,2018-02-13T14:56:24Z,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,51207,CyC2018/CS-Notes,,0,CS-Notes,213,65,CyC2018,179232,2025-03-08T03:16:37Z
